image_id,label,original_image_path,original_mask_path,selected_image_path,selected_mask_path,height,width,n_pixels,image_mean,image_std,image_min,image_max,image_median,image_p05,image_p95,dynamic_range,image_skewness,image_kurtosis_excess,lesion_area_px,lesion_area_fraction,lesion_mean,lesion_std,lesion_min,lesion_max,background_mean,background_std,background_min,background_max,lesion_background_contrast
benign (348),benign,data\raw\benign\benign (348).png,data\raw\benign\benign (348)_mask.png,data\selected\busi_subset\benign\images\benign_348.png,data\selected\busi_subset\benign\masks\benign_348_mask.png,565,1028,580820,104.58401489257812,61.050865173339844,0.0,255.0,105.0,13.0,199.0,255.0,0.0658356174826622,-1.1820465326309204,8081,0.013913088392272994,110.23462677001953,29.33219337463379,59.0,224.0,104.50430297851562,61.37752914428711,0.0,255.0,-0.05483337649870392
benign (128),benign,data\raw\benign\benign (128).png,data\raw\benign\benign (128)_mask.png,data\selected\busi_subset\benign\images\benign_128.png,data\selected\busi_subset\benign\masks\benign_128_mask.png,475,549,260775,64.33810424804688,56.32790756225586,0.0,255.0,49.0,1.0,170.0,255.0,0.7079963684082031,-0.4353504180908203,3891,0.014920908829450677,24.291440963745117,30.779329299926758,0.0,146.0,64.94469451904297,56.408172607421875,0.0,255.0,0.625967276466562
benign (15),benign,data\raw\benign\benign (15).png,data\raw\benign\benign (15)_mask.png,data\selected\busi_subset\benign\images\benign_15.png,data\selected\busi_subset\benign\masks\benign_15_mask.png,526,701,368726,70.7922134399414,35.05711364746094,0.0,253.0,65.0,27.0,137.0,253.0,1.0173660516738892,1.5982952117919922,3067,0.008317829499411487,16.46723175048828,24.530569076538086,0.0,190.0,71.24786376953125,34.7750129699707,0.0,253.0,0.7688740281190137
benign (184),benign,data\raw\benign\benign (184).png,data\raw\benign\benign (184)_mask.png,data\selected\busi_subset\benign\images\benign_184.png,data\selected\busi_subset\benign\masks\benign_184_mask.png,487,349,169963,68.60951232910156,63.69211959838867,0.0,255.0,42.0,2.0,201.0,255.0,0.9717130661010742,-0.10980892181396484,24349,0.14326059201120245,57.75703430175781,43.928619384765625,0.0,255.0,70.42422485351562,66.25225067138672,0.0,255.0,0.1798697902079466
benign (90),benign,data\raw\benign\benign (90).png,data\raw\benign\benign (90)_mask.png,data\selected\busi_subset\benign\images\benign_90.png,data\selected\busi_subset\benign\masks\benign_90_mask.png,574,772,443128,100.76275634765625,72.47240447998047,0.0,255.0,104.0,8.0,217.0,255.0,0.1741892248392105,-1.333729863166809,3287,0.00741772129046235,104.50471496582031,31.7496280670166,61.0,240.0,100.73478698730469,72.69017028808594,0.0,255.0,-0.03742429096133886
benign (17),benign,data\raw\benign\benign (17).png,data\raw\benign\benign (17)_mask.png,data\selected\busi_subset\benign\images\benign_17.png,data\selected\busi_subset\benign\masks\benign_17_mask.png,463,558,258354,122.40198516845703,62.37081527709961,0.0,255.0,125.0,24.0,226.0,255.0,0.045981328934431076,-0.9225678443908691,5079,0.019659072435495483,89.45500946044922,47.0487060546875,25.0,255.0,123.06266784667969,62.46226119995117,0.0,255.0,0.2730938551191688
benign (101),benign,data\raw\benign\benign (101).png,data\raw\benign\benign (101)_mask.png,data\selected\busi_subset\benign\images\benign_101.png,data\selected\busi_subset\benign\masks\benign_101_mask.png,473,563,266299,103.22570037841797,57.23016357421875,0.0,255.0,112.0,15.0,197.0,255.0,0.041767846792936325,-0.7772400379180908,4167,0.015647824437943814,70.04007720947266,30.824695587158203,19.0,226.0,103.75324249267578,57.397457122802734,0.0,255.0,0.32493601616675905
malignant (151),malignant,data\raw\malignant\malignant (151).png,data\raw\malignant\malignant (151)_mask.png,data\selected\busi_subset\malignant\images\malignant_151.png,data\selected\busi_subset\malignant\masks\malignant_151_mask.png,467,513,239571,61.0653190612793,50.19325256347656,0.0,233.0,58.0,1.0,144.0,233.0,0.39768481254577637,-0.9826476573944092,43830,0.18295202674781172,55.1859016418457,30.732460021972656,0.0,193.0,62.381832122802734,53.50265884399414,0.0,233.0,0.11535298395272905
benign (274),benign,data\raw\benign\benign (274).png,data\raw\benign\benign (274)_mask.png,data\selected\busi_subset\benign\images\benign_274.png,data\selected\busi_subset\benign\masks\benign_274_mask.png,471,556,261876,75.55811309814453,46.116424560546875,0.0,255.0,70.0,12.0,163.0,255.0,0.6965552568435669,0.17269206047058105,37185,0.14199468450717134,66.34021759033203,40.44977951049805,0.0,237.0,77.08360290527344,46.81364059448242,0.0,255.0,0.13937315990211324
malignant (84),malignant,data\raw\malignant\malignant (84).png,data\raw\malignant\malignant (84)_mask.png,data\selected\busi_subset\malignant\images\malignant_84.png,data\selected\busi_subset\malignant\masks\malignant_84_mask.png,612,649,397188,74.08927917480469,38.10985565185547,0.0,251.0,69.0,25.0,143.0,251.0,0.7129455208778381,0.3678617477416992,39438,0.09929303000090638,34.14780044555664,22.420827865600586,0.0,164.0,78.49236297607422,36.90254592895508,0.0,251.0,0.5649538482920308
benign (221),benign,data\raw\benign\benign (221).png,data\raw\benign\benign (221)_mask.png,data\selected\busi_subset\benign\images\benign_221.png,data\selected\busi_subset\benign\masks\benign_221_mask.png,394,610,240340,96.5685806274414,44.854278564453125,0.0,255.0,95.0,25.0,174.04999999998836,255.0,0.2849462330341339,-0.021425724029541016,2110,0.008779229424981277,75.02227783203125,54.243064880371094,28.0,235.0,96.75941467285156,44.71595764160156,0.0,255.0,0.22465138831263243
benign (237),benign,data\raw\benign\benign (237).png,data\raw\benign\benign (237)_mask.png,data\selected\busi_subset\benign\images\benign_237.png,data\selected\busi_subset\benign\masks\benign_237_mask.png,473,558,263934,92.63826751708984,44.19378662109375,0.0,255.0,87.0,32.0,176.0,255.0,0.6658180356025696,0.1387317180633545,25108,0.09512984306682731,75.13111114501953,46.1552734375,0.0,255.0,94.47877502441406,43.57579040527344,0.0,255.0,0.20478317878642172
benign (144),benign,data\raw\benign\benign (144).png,data\raw\benign\benign (144)_mask.png,data\selected\busi_subset\benign\images\benign_144.png,data\selected\busi_subset\benign\masks\benign_144_mask.png,580,770,446600,84.48454284667969,47.051719665527344,0.0,243.0,76.0,25.0,174.0,243.0,0.6292177438735962,-0.4095029830932617,1256,0.002812360053739364,41.74601745605469,37.25770950317383,0.0,179.0,84.60508728027344,47.02156448364258,0.0,243.0,0.5065779280762709
malignant (96),malignant,data\raw\malignant\malignant (96).png,data\raw\malignant\malignant (96)_mask.png,data\selected\busi_subset\malignant\images\malignant_96.png,data\selected\busi_subset\malignant\masks\malignant_96_mask.png,483,560,270480,85.20294189453125,54.56093978881836,0.0,255.0,97.0,2.0,172.0,255.0,0.0521281398832798,-0.8386032581329346,57534,0.21271073646850044,101.85490417480469,35.50645065307617,11.0,255.0,80.70389556884766,57.83959197998047,0.0,255.0,-0.262081631304805
malignant (15),malignant,data\raw\malignant\malignant (15).png,data\raw\malignant\malignant (15)_mask.png,data\selected\busi_subset\malignant\images\malignant_15.png,data\selected\busi_subset\malignant\masks\malignant_15_mask.png,398,361,143678,65.31178283691406,45.6448974609375,0.0,249.0,55.0,6.0,154.0,249.0,0.8186497092247009,0.1956942081451416,37600,0.26169629309984827,49.500160217285156,33.39046859741211,0.0,249.0,70.91630554199219,48.02845001220703,0.0,246.0,0.3019918361230171
benign (202),benign,data\raw\benign\benign (202).png,data\raw\benign\benign (202)_mask.png,data\selected\busi_subset\benign\images\benign_202.png,data\selected\busi_subset\benign\masks\benign_202_mask.png,469,552,258888,76.91967010498047,57.00429916381836,0.0,255.0,61.0,12.0,182.0,255.0,0.6838449835777283,-0.5694558620452881,1568,0.006056673155959333,70.28762817382812,39.48308563232422,21.0,197.0,76.9601058959961,57.09221649169922,0.0,255.0,0.08670047479298108
benign (246),benign,data\raw\benign\benign (246).png,data\raw\benign\benign (246)_mask.png,data\selected\busi_subset\benign\images\benign_246.png,data\selected\busi_subset\benign\masks\benign_246_mask.png,331,526,174106,95.64974975585938,43.994361877441406,0.0,255.0,94.0,24.0,172.0,255.0,0.24531607329845428,-0.021622657775878906,1378,0.007914718619691452,70.11683654785156,44.802371978759766,19.0,240.0,95.85344696044922,43.92822265625,0.0,255.0,0.2684995816637875
malignant (66),malignant,data\raw\malignant\malignant (66).png,data\raw\malignant\malignant (66)_mask.png,data\selected\busi_subset\malignant\images\malignant_66.png,data\selected\busi_subset\malignant\masks\malignant_66_mask.png,584,655,382520,72.86798095703125,37.400455474853516,0.0,253.0,70.0,20.0,135.0,253.0,0.5206077694892883,0.2816283702850342,21299,0.05568074871902123,35.44537353515625,26.51223373413086,0.0,164.0,75.07456970214844,36.77473831176758,0.0,253.0,0.5278644462291132
malignant (95),malignant,data\raw\malignant\malignant (95).png,data\raw\malignant\malignant (95)_mask.png,data\selected\busi_subset\malignant\images\malignant_95.png,data\selected\busi_subset\malignant\masks\malignant_95_mask.png,486,781,379566,81.48873901367188,55.868526458740234,0.0,255.0,91.0,1.0,171.0,255.0,0.11051502823829651,-0.864450216293335,56403,0.14859866268316974,103.5057373046875,34.06133270263672,12.0,255.0,77.6460189819336,58.001747131347656,0.0,255.0,-0.33304628696341015
benign (8),benign,data\raw\benign\benign (8).png,data\raw\benign\benign (8)_mask.png,data\selected\busi_subset\benign\images\benign_8.png,data\selected\busi_subset\benign\masks\benign_8_mask.png,585,617,360945,107.80558013916016,50.6168098449707,0.0,255.0,113.0,29.0,193.0,255.0,0.10449928045272827,-0.6309010982513428,3997,0.011073709290889194,93.05529022216797,28.622406005859375,48.0,216.0,107.97076416015625,50.784969329833984,0.0,255.0,0.1381436359428028
benign (251),benign,data\raw\benign\benign (251).png,data\raw\benign\benign (251)_mask.png,data\selected\busi_subset\benign\images\benign_251.png,data\selected\busi_subset\benign\masks\benign_251_mask.png,387,467,180729,94.68722534179688,39.73789596557617,0.0,255.0,90.0,41.0,170.0,255.0,0.7989897131919861,0.7296442985534668,3811,0.021086820598797094,87.27446746826172,36.102081298828125,18.0,249.0,94.8469009399414,39.7973747253418,0.0,255.0,0.07983849125103508
benign (343),benign,data\raw\benign\benign (343).png,data\raw\benign\benign (343)_mask.png,data\selected\busi_subset\benign\images\benign_343.png,data\selected\busi_subset\benign\masks\benign_343_mask.png,467,564,263388,102.47525024414062,48.21836471557617,0.0,255.0,104.0,30.0,189.0,255.0,0.3796933591365814,-0.1947183609008789,20580,0.07813567816301425,64.51448059082031,28.404582977294922,6.0,215.0,105.69276428222656,48.178829193115234,0.0,255.0,0.3896036210913523
benign (336),benign,data\raw\benign\benign (336).png,data\raw\benign\benign (336)_mask.png,data\selected\busi_subset\benign\images\benign_336.png,data\selected\busi_subset\benign\masks\benign_336_mask.png,585,783,458055,76.72876739501953,58.559268951416016,0.0,255.0,71.0,5.0,182.0,255.0,0.4780372679233551,-0.8661744594573975,18176,0.039680824355153854,98.4327163696289,35.4714469909668,11.0,218.0,75.83194732666016,59.149166107177734,0.0,255.0,-0.29803756644454055
benign (367),benign,data\raw\benign\benign (367).png,data\raw\benign\benign (367)_mask.png,data\selected\busi_subset\benign\images\benign_367.png,data\selected\busi_subset\benign\masks\benign_367_mask.png,462,560,258720,107.10794830322266,49.59312438964844,0.0,255.0,107.0,32.0,196.0,255.0,0.3887130618095398,-0.18125510215759277,33369,0.12897727272727272,79.43684387207031,32.49784469604492,18.0,225.0,111.20533752441406,50.369773864746094,0.0,255.0,0.2856741803648817
benign (222),benign,data\raw\benign\benign (222).png,data\raw\benign\benign (222)_mask.png,data\selected\busi_subset\benign\images\benign_222.png,data\selected\busi_subset\benign\masks\benign_222_mask.png,392,605,237160,109.53797912597656,40.26793670654297,8.0,255.0,103.0,56.0,187.0,247.0,0.6713313460350037,-0.05908036231994629,8311,0.03504385225164446,80.92010498046875,35.562103271484375,16.0,237.0,110.57728576660156,40.04551696777344,8.0,255.0,0.2682031899937297
benign (405),benign,data\raw\benign\benign (405).png,data\raw\benign\benign (405)_mask.png,data\selected\busi_subset\benign\images\benign_405.png,data\selected\busi_subset\benign\masks\benign_405_mask.png,465,566,263190,66.5523452758789,38.50563049316406,0.0,240.0,62.0,16.0,131.0,240.0,0.6510037183761597,0.09734010696411133,80623,0.3063300277366161,76.95460510253906,29.82781410217285,0.0,208.0,61.958621978759766,40.93486404418945,0.0,240.0,-0.24203222477252312
malignant (128),malignant,data\raw\malignant\malignant (128).png,data\raw\malignant\malignant (128)_mask.png,data\selected\busi_subset\malignant\images\malignant_128.png,data\selected\busi_subset\malignant\masks\malignant_128_mask.png,468,625,292500,73.32080841064453,58.19640350341797,0.0,255.0,53.0,7.0,183.0,255.0,0.7791898250579834,-0.5494117736816406,105745,0.36152136752136754,59.59257507324219,48.81180953979492,0.0,248.0,81.09403991699219,61.549190521240234,0.0,255.0,0.26514235649262835
malignant (88),malignant,data\raw\malignant\malignant (88).png,data\raw\malignant\malignant (88)_mask.png,data\selected\busi_subset\malignant\images\malignant_88.png,data\selected\busi_subset\malignant\masks\malignant_88_mask.png,591,775,458025,83.03475952148438,60.28703689575195,0.0,255.0,69.0,12.0,193.0,255.0,0.5783098340034485,-0.8284056186676025,34368,0.07503520550188308,63.31768035888672,32.78025436401367,0.0,233.0,84.63426208496094,61.70982360839844,0.0,255.0,0.2518670476757591
benign (391),benign,data\raw\benign\benign (391).png,data\raw\benign\benign (391)_mask.png,data\selected\busi_subset\benign\images\benign_391.png,data\selected\busi_subset\benign\masks\benign_391_mask.png,578,687,397086,125.72236633300781,54.208065032958984,0.0,255.0,131.0,31.0,210.0,255.0,-0.1910405158996582,-0.6808395385742188,53976,0.1359302518849821,124.60625457763672,31.68362045288086,46.0,255.0,125.89795684814453,56.94416046142578,0.0,255.0,0.010259914479495784
benign (393),benign,data\raw\benign\benign (393).png,data\raw\benign\benign (393)_mask.png,data\selected\busi_subset\benign\images\benign_393.png,data\selected\busi_subset\benign\masks\benign_393_mask.png,583,685,399355,96.54946899414062,54.7388916015625,0.0,255.0,93.0,19.0,193.0,255.0,0.3528594672679901,-0.6247105598449707,102917,0.2577080542374579,65.5229263305664,46.930233001708984,0.0,244.0,107.32123565673828,53.11996078491211,0.0,255.0,0.38946913969540037
benign (43),benign,data\raw\benign\benign (43).png,data\raw\benign\benign (43)_mask.png,data\selected\busi_subset\benign\images\benign_43.png,data\selected\busi_subset\benign\masks\benign_43_mask.png,495,554,274230,86.59671020507812,53.85307312011719,0.0,255.0,82.0,17.0,187.0,255.0,0.5961415767669678,-0.27710556983947754,2331,0.008500164095831967,73.79879760742188,30.915008544921875,21.0,171.0,86.70640563964844,53.99451446533203,0.0,255.0,0.14886567994044048
benign (135),benign,data\raw\benign\benign (135).png,data\raw\benign\benign (135)_mask.png,data\selected\busi_subset\benign\images\benign_135.png,data\selected\busi_subset\benign\masks\benign_135_mask.png,582,776,451632,83.47393798828125,61.989906311035156,0.0,255.0,80.0,3.0,190.0,255.0,0.29503604769706726,-1.0858640670776367,11136,0.024657243065150387,69.19962310791016,58.2099723815918,0.0,244.0,83.83477783203125,62.03993225097656,0.0,255.0,0.17457140223712314
benign (18),benign,data\raw\benign\benign (18).png,data\raw\benign\benign (18)_mask.png,data\selected\busi_subset\benign\images\benign_18.png,data\selected\busi_subset\benign\masks\benign_18_mask.png,469,564,264516,103.21951293945312,71.1171646118164,0.0,255.0,94.0,7.0,227.0,255.0,0.31419914960861206,-1.0750319957733154,52485,0.19841899922878012,42.290157318115234,53.82361602783203,0.0,255.0,118.30162811279297,66.67891693115234,0.0,255.0,0.6425226093742386
benign (411),benign,data\raw\benign\benign (411).png,data\raw\benign\benign (411)_mask.png,data\selected\busi_subset\benign\images\benign_411.png,data\selected\busi_subset\benign\masks\benign_411_mask.png,587,602,353374,88.40122985839844,56.0349235534668,0.0,255.0,79.0,20.0,184.0,255.0,0.41492268443107605,-1.0823622941970825,40403,0.11433495390153209,96.40596008300781,33.7751579284668,10.0,213.0,87.36787414550781,58.21215057373047,0.0,255.0,-0.1034486191275861
benign (95),benign,data\raw\benign\benign (95).png,data\raw\benign\benign (95)_mask.png,data\selected\busi_subset\benign\images\benign_95.png,data\selected\busi_subset\benign\masks\benign_95_mask.png,470,558,262260,79.12548828125,57.41016387939453,0.0,255.0,71.0,7.0,184.0,255.0,0.562701404094696,-0.5131914615631104,3486,0.013292152825440403,32.74325942993164,31.690797805786133,0.0,180.0,79.75031280517578,57.423221588134766,0.0,255.0,0.5894278243670928
benign (293),benign,data\raw\benign\benign (293).png,data\raw\benign\benign (293)_mask.png,data\selected\busi_subset\benign\images\benign_293.png,data\selected\busi_subset\benign\masks\benign_293_mask.png,389,473,183997,80.98092651367188,51.122108459472656,0.0,255.0,81.0,14.0,172.0,255.0,0.4768749177455902,-0.47391390800476074,7486,0.04068544595835802,106.01589965820312,30.580463409423828,54.0,245.0,79.9191665649414,51.54551696777344,0.0,255.0,-0.32653910459377
malignant (146),malignant,data\raw\malignant\malignant (146).png,data\raw\malignant\malignant (146)_mask.png,data\selected\busi_subset\malignant\images\malignant_146.png,data\selected\busi_subset\malignant\masks\malignant_146_mask.png,432,575,248400,78.01081085205078,40.77444076538086,0.0,255.0,74.0,9.0,152.0,255.0,0.45625001192092896,0.38454675674438477,48281,0.19436795491143316,61.26554870605469,26.932350158691406,5.0,190.0,82.0508041381836,42.481689453125,0.0,255.0,0.2533217760375727
malignant (45),malignant,data\raw\malignant\malignant (45).png,data\raw\malignant\malignant (45)_mask.png,data\selected\busi_subset\malignant\images\malignant_45.png,data\selected\busi_subset\malignant\masks\malignant_45_mask.png,592,781,462352,80.93689727783203,59.64061737060547,0.0,248.0,66.0,5.0,190.0,248.0,0.5692135691642761,-0.834036111831665,80381,0.1738523895214036,57.28061294555664,36.934669494628906,0.0,207.0,85.91503143310547,62.25680923461914,0.0,248.0,0.33328764485771123
benign (171),benign,data\raw\benign\benign (171).png,data\raw\benign\benign (171)_mask.png,data\selected\busi_subset\benign\images\benign_171.png,data\selected\busi_subset\benign\masks\benign_171_mask.png,463,566,262058,98.78131103515625,51.85446548461914,0.0,255.0,103.0,22.0,190.0,255.0,0.24071910977363586,-0.574023962020874,1369,0.0052240343740698626,70.50694274902344,29.459686279296875,33.0,194.0,98.92980194091797,51.90596008300781,0.0,255.0,0.2873033062978936
benign (422),benign,data\raw\benign\benign (422).png,data\raw\benign\benign (422)_mask.png,data\selected\busi_subset\benign\images\benign_422.png,data\selected\busi_subset\benign\masks\benign_422_mask.png,487,768,374016,53.138431549072266,44.88319396972656,0.0,255.0,40.0,7.0,143.0,255.0,1.1596421003341675,0.9110257625579834,68711,0.18371139202600958,32.26170349121094,28.91788673400879,0.0,238.0,57.8369026184082,46.470550537109375,0.0,255.0,0.4421951723714073
benign (263),benign,data\raw\benign\benign (263).png,data\raw\benign\benign (263)_mask.png,data\selected\busi_subset\benign\images\benign_263.png,data\selected\busi_subset\benign\masks\benign_263_mask.png,390,465,181350,106.57058715820312,47.69598388671875,0.0,255.0,107.0,33.0,193.0,255.0,0.3487135171890259,-0.21783447265625,5734,0.03161841742486904,100.46546936035156,43.37451171875,16.0,252.0,106.76990509033203,47.81736373901367,0.0,255.0,0.05904693578266432
benign (364),benign,data\raw\benign\benign (364).png,data\raw\benign\benign (364)_mask.png,data\selected\busi_subset\benign\images\benign_364.png,data\selected\busi_subset\benign\masks\benign_364_mask.png,465,557,259005,85.36156463623047,69.53682708740234,0.0,255.0,68.0,9.0,208.0,255.0,0.5911976099014282,-0.9220564365386963,13366,0.05160518136715508,121.03508758544922,29.627988815307617,47.0,255.0,83.42044830322266,70.55281066894531,0.0,255.0,-0.45090430515301383
benign (109),benign,data\raw\benign\benign (109).png,data\raw\benign\benign (109)_mask.png,data\selected\busi_subset\benign\images\benign_109.png,data\selected\busi_subset\benign\masks\benign_109_mask.png,470,562,264140,75.17330932617188,59.704837799072266,0.0,255.0,64.0,4.0,183.0,255.0,0.5360008478164673,-0.7934784889221191,28435,0.10765124555160142,33.36300277709961,38.527034759521484,0.0,234.0,80.21722412109375,59.82730484008789,0.0,255.0,0.5840917814286788
benign (340),benign,data\raw\benign\benign (340).png,data\raw\benign\benign (340)_mask.png,data\selected\busi_subset\benign\images\benign_340.png,data\selected\busi_subset\benign\masks\benign_340_mask.png,425,770,327250,74.87052154541016,46.79262924194336,0.0,255.0,69.0,9.0,161.0,255.0,0.6182079911231995,-0.09978175163269043,84566,0.2584140565317036,47.621524810791016,36.180171966552734,0.0,226.0,84.36573028564453,46.34103775024414,0.0,255.0,0.4355347289247667
malignant (143),malignant,data\raw\malignant\malignant (143).png,data\raw\malignant\malignant (143)_mask.png,data\selected\busi_subset\malignant\images\malignant_143.png,data\selected\busi_subset\malignant\masks\malignant_143_mask.png,467,562,262454,72.91761016845703,44.238372802734375,0.0,255.0,70.0,8.0,153.0,255.0,0.5073096752166748,-0.08957791328430176,12321,0.04694536947426978,82.31694030761719,39.56706237792969,19.0,217.0,72.4546127319336,44.40440368652344,0.0,255.0,-0.13611731817283879
benign (261),benign,data\raw\benign\benign (261).png,data\raw\benign\benign (261)_mask.png,data\selected\busi_subset\benign\images\benign_261.png,data\selected\busi_subset\benign\masks\benign_261_mask.png,386,469,181034,57.4353141784668,50.93620300292969,0.0,255.0,40.0,8.0,164.0,255.0,1.1750303506851196,0.7431235313415527,22135,0.12226984986245677,72.27960205078125,31.773149490356445,1.0,239.0,55.36747360229492,52.72868728637695,0.0,255.0,-0.30545241357609665
benign (225),benign,data\raw\benign\benign (225).png,data\raw\benign\benign (225)_mask.png,data\selected\busi_subset\benign\images\benign_225.png,data\selected\busi_subset\benign\masks\benign_225_mask.png,473,558,263934,82.36862182617188,52.35723114013672,0.0,255.0,81.0,14.0,178.0,255.0,0.5086210370063782,-0.43444180488586426,11894,0.045064296377124585,108.248779296875,34.164466857910156,53.0,255.0,81.14729309082031,52.74905014038086,0.0,255.0,-0.3339789310332611
malignant (130),malignant,data\raw\malignant\malignant (130).png,data\raw\malignant\malignant (130)_mask.png,data\selected\busi_subset\malignant\images\malignant_130.png,data\selected\busi_subset\malignant\masks\malignant_130_mask.png,463,555,256965,96.29609680175781,57.5269775390625,0.0,255.0,87.0,23.0,193.0,255.0,0.3680216372013092,-1.0241479873657227,32239,0.12546066584943474,75.9502182006836,31.550006866455078,14.0,244.0,99.21488189697266,59.7779655456543,0.0,255.0,0.23448764186508658
benign (295),benign,data\raw\benign\benign (295).png,data\raw\benign\benign (295)_mask.png,data\selected\busi_subset\benign\images\benign_295.png,data\selected\busi_subset\benign\masks\benign_295_mask.png,387,472,182664,121.23538208007812,46.18058395385742,0.0,255.0,115.0,56.0,209.0,255.0,0.5493167042732239,-0.18866991996765137,10033,0.054925984320938995,80.28865051269531,48.98481369018555,11.0,255.0,123.61515808105469,44.877952575683594,0.0,255.0,0.3504951030070694
