image_id,label,method,speckle_index,high_frequency_energy,lesion_background_contrast,robust_bilateral_image_path,robust_bilateral_mask_path,robust_nlm_image_path,robust_nlm_mask_path
malignant (25),malignant,raw,0.8103038056232712,0.0013701597913121936,0.5895215633233664,,,,
malignant (25),malignant,robust_bilateral,0.8178787309179147,0.001035127451888005,0.5960396366217611,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_25.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_25_mask.png,,
malignant (25),malignant,robust_nlm,0.8191507208274784,0.0010083162854069444,0.5966876111005329,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_25.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_25_mask.png
malignant (176),malignant,raw,0.9546979640214514,0.002336744243703228,0.06778570239045724,,,,
malignant (176),malignant,robust_bilateral,0.9519083670588955,0.00171779182834574,0.06546113332405916,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_176.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_176_mask.png,,
malignant (176),malignant,robust_nlm,0.9550666099963007,0.0018149961984548684,0.06657221266513551,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_176.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_176_mask.png
malignant (77),malignant,raw,0.7175762064953317,0.002140619287137632,-0.3103754693177396,,,,
malignant (77),malignant,robust_bilateral,0.7309137738498643,0.0017412689130892392,-0.32366925710719574,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_77.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_77_mask.png,,
malignant (77),malignant,robust_nlm,0.7335036833636013,0.0019435951837100628,-0.3237081335199142,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_77.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_77_mask.png
benign (170),benign,raw,0.6678906894302202,0.0025368541573636046,0.7878863353536717,,,,
benign (170),benign,robust_bilateral,0.6763959853140769,0.0019505934324800837,0.8099434033303862,data\processed\preprocessed\robust_bilateral\benign\images\benign_170.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_170_mask.png,,
benign (170),benign,robust_nlm,0.6804321090671014,0.0019912443261457663,0.8121683473333504,,,data\processed\preprocessed\robust_nlm\benign\images\benign_170.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_170_mask.png
malignant (199),malignant,raw,0.4862801996577003,0.0009982996775418146,-0.024361062723213544,,,,
malignant (199),malignant,robust_bilateral,0.6529996602068969,0.0009412674659665056,-0.03361648064174562,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_199.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_199_mask.png,,
malignant (199),malignant,robust_nlm,0.6556245579751999,0.0009008695248103243,-0.033705691580705736,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_199.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_199_mask.png
benign (234),benign,raw,0.8850685121434565,0.008987286965869,-0.3654118920696571,,,,
benign (234),benign,robust_bilateral,0.9404165615311989,0.0036589010110559066,-0.3867096376084736,data\processed\preprocessed\robust_bilateral\benign\images\benign_234.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_234_mask.png,,
benign (234),benign,robust_nlm,0.9464223224117767,0.008385662373778417,-0.3952520128643189,,,data\processed\preprocessed\robust_nlm\benign\images\benign_234.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_234_mask.png
benign (348),benign,raw,0.5837494882563775,0.001365021848648124,-0.05483337649870392,,,,
benign (348),benign,robust_bilateral,0.5857374450234455,0.0010361157045978358,-0.05880983578908787,data\processed\preprocessed\robust_bilateral\benign\images\benign_348.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_348_mask.png,,
benign (348),benign,robust_nlm,0.5870178455006637,0.0011802812606646301,-0.05660561469642447,,,data\processed\preprocessed\robust_nlm\benign\images\benign_348.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_348_mask.png
benign (128),benign,raw,0.8754984036379315,0.0029062138809397725,0.625967276466562,,,,
benign (128),benign,robust_bilateral,0.8670598669945421,0.002254170161295499,0.625272413179113,data\processed\preprocessed\robust_bilateral\benign\images\benign_128.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_128_mask.png,,
benign (128),benign,robust_nlm,0.8720866335937759,0.0022599268907106474,0.630960204652732,,,data\processed\preprocessed\robust_nlm\benign\images\benign_128.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_128_mask.png
benign (15),benign,raw,0.49521143560799435,0.002165888413818633,0.7688740281190137,,,,
benign (15),benign,robust_bilateral,0.5694401236539856,0.002649878559100791,0.8350868082056034,data\processed\preprocessed\robust_bilateral\benign\images\benign_15.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_15_mask.png,,
benign (15),benign,robust_nlm,0.5758829584542247,0.002238140940756264,0.8409536926831351,,,data\processed\preprocessed\robust_nlm\benign\images\benign_15.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_15_mask.png
benign (184),benign,raw,0.9283278285505737,0.004465943920419783,0.1798697902079466,,,,
benign (184),benign,robust_bilateral,0.937410886125694,0.0027404086059262625,0.18092164722992182,data\processed\preprocessed\robust_bilateral\benign\images\benign_184.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_184_mask.png,,
benign (184),benign,robust_nlm,0.9413291068428716,0.0031057694509320664,0.18406647895002515,,,data\processed\preprocessed\robust_nlm\benign\images\benign_184.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_184_mask.png
benign (90),benign,raw,0.7192380112145095,0.0010070657302830674,-0.03742429096133886,,,,
benign (90),benign,robust_bilateral,0.732623181954729,0.0008958665369489563,-0.042891468904606746,data\processed\preprocessed\robust_bilateral\benign\images\benign_90.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_90_mask.png,,
benign (90),benign,robust_nlm,0.7333863349458111,0.0009276309534843678,-0.03904824913001688,,,data\processed\preprocessed\robust_nlm\benign\images\benign_90.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_90_mask.png
benign (17),benign,raw,0.5095572199361074,0.0010598450749157093,0.2730938551191688,,,,
benign (17),benign,robust_bilateral,0.5798907618124463,0.0010858445233477418,0.3130761340581742,data\processed\preprocessed\robust_bilateral\benign\images\benign_17.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_17_mask.png,,
benign (17),benign,robust_nlm,0.5839387482357912,0.0009140099781135509,0.3170692236967649,,,data\processed\preprocessed\robust_nlm\benign\images\benign_17.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_17_mask.png
benign (101),benign,raw,0.5544177793361256,0.001481269415022808,0.32493601616675905,,,,
benign (101),benign,robust_bilateral,0.5864437017570162,0.0011201699355814286,0.34600277660865264,data\processed\preprocessed\robust_bilateral\benign\images\benign_101.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_101_mask.png,,
benign (101),benign,robust_nlm,0.5903472952362512,0.0011535409816542928,0.34962345526568644,,,data\processed\preprocessed\robust_nlm\benign\images\benign_101.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_101_mask.png
malignant (151),malignant,raw,0.8219600476189673,0.0020799200705233704,0.11535298395272905,,,,
malignant (151),malignant,robust_bilateral,0.8168948406090849,0.0013595726163905936,0.1129725475116704,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_151.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_151_mask.png,,
malignant (151),malignant,robust_nlm,0.8192416162179056,0.0014291002941608853,0.11483301173788492,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_151.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_151_mask.png
benign (274),benign,raw,0.6103437826808217,0.006193544621442589,0.13937315990211324,,,,
benign (274),benign,robust_bilateral,0.6176611144273607,0.002851736998876772,0.16457490649112963,data\processed\preprocessed\robust_bilateral\benign\images\benign_274.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_274_mask.png,,
benign (274),benign,robust_nlm,0.6262888804745509,0.004980762931893169,0.1488974690102718,,,data\processed\preprocessed\robust_nlm\benign\images\benign_274.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_274_mask.png
malignant (84),malignant,raw,0.5143774656241408,0.0017919021000863116,0.5649538482920308,,,,
malignant (84),malignant,robust_bilateral,0.5857896501112697,0.0011186158625543152,0.6531705794195974,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_84.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_84_mask.png,,
malignant (84),malignant,robust_nlm,0.5899828018680892,0.0008962592612900124,0.6550691234864375,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_84.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_84_mask.png
benign (221),benign,raw,0.4644810793843967,0.0024639903965110632,0.22465138831263243,,,,
benign (221),benign,robust_bilateral,0.4526310952808229,0.001476391895052422,0.2833308685750914,data\processed\preprocessed\robust_bilateral\benign\images\benign_221.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_221_mask.png,,
benign (221),benign,robust_nlm,0.4620887604407642,0.0017020201979109368,0.24019319257408037,,,data\processed\preprocessed\robust_nlm\benign\images\benign_221.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_221_mask.png
benign (237),benign,raw,0.4770575681690173,0.003653240426816231,0.20478317878642172,,,,
benign (237),benign,robust_bilateral,0.5728145763341465,0.0022782795471496995,0.2742954358447225,data\processed\preprocessed\robust_bilateral\benign\images\benign_237.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_237_mask.png,,
benign (237),benign,robust_nlm,0.5825983203190661,0.003964498696451481,0.2568358599928118,,,data\processed\preprocessed\robust_nlm\benign\images\benign_237.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_237_mask.png
benign (144),benign,raw,0.5569269606029065,0.001327205523759688,0.5065779280762709,,,,
benign (144),benign,robust_bilateral,0.657265382552603,0.0013510351738247645,0.5883376907806936,data\processed\preprocessed\robust_bilateral\benign\images\benign_144.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_144_mask.png,,
benign (144),benign,robust_nlm,0.6611942252581572,0.001342493178115435,0.5967111134248027,,,data\processed\preprocessed\robust_nlm\benign\images\benign_144.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_144_mask.png
malignant (96),malignant,raw,0.640364505915263,0.0016548850885006153,-0.262081631304805,,,,
malignant (96),malignant,robust_bilateral,0.6403237781450494,0.0013038981387886795,-0.26664720405823017,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_96.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_96_mask.png,,
malignant (96),malignant,robust_nlm,0.6427357471938836,0.001216996284449459,-0.2675217926326799,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_96.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_96_mask.png
malignant (15),malignant,raw,0.6988769174302667,0.009065286866509665,0.3019918361230171,,,,
malignant (15),malignant,robust_bilateral,0.6891634079920167,0.0038107590534405176,0.318390555243945,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_15.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_15_mask.png,,
malignant (15),malignant,robust_nlm,0.7006711819168637,0.00722832336854319,0.3102757089594861,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_15.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_15_mask.png
benign (202),benign,raw,0.7410887109372482,0.0024181980346782276,0.08670047479298108,,,,
benign (202),benign,robust_bilateral,0.8076508414089361,0.0021197100549851713,0.08788014756019388,data\processed\preprocessed\robust_bilateral\benign\images\benign_202.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_202_mask.png,,
benign (202),benign,robust_nlm,0.8116780414494434,0.002142144628978088,0.09398544048341335,,,data\processed\preprocessed\robust_nlm\benign\images\benign_202.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_202_mask.png
benign (246),benign,raw,0.45995271278528743,0.002516836379993891,0.2684995816637875,,,,
benign (246),benign,robust_bilateral,0.4451069923635652,0.0015039494865175945,0.3073499494857027,data\processed\preprocessed\robust_bilateral\benign\images\benign_246.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_246_mask.png,,
benign (246),benign,robust_nlm,0.4571680939422278,0.0017319306422280444,0.27608340850104474,,,data\processed\preprocessed\robust_nlm\benign\images\benign_246.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_246_mask.png
malignant (66),malignant,raw,0.5132632328170008,0.001079703209747437,0.5278644462291132,,,,
malignant (66),malignant,robust_bilateral,0.5471001643796535,0.0007542901830518518,0.5754346997121608,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_66.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_66_mask.png,,
malignant (66),malignant,robust_nlm,0.5520572259016607,0.00046645365312703084,0.5778595447527357,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_66.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_66_mask.png
malignant (95),malignant,raw,0.6602492380107258,0.002748434729672738,-0.29628837982695927,,,,
malignant (95),malignant,robust_bilateral,0.6598143362200334,0.002039399157866316,-0.3015125402304583,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_95.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_95_mask.png,,
malignant (95),malignant,robust_nlm,0.6623049986625436,0.0021986909470427304,-0.3021364910586302,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_95.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_95_mask.png
benign (8),benign,raw,0.4695193864699055,0.0009616592302846176,0.1381436359428028,,,,
benign (8),benign,robust_bilateral,0.5701021449045964,0.0010194274307751628,0.1657302453962487,data\processed\preprocessed\robust_bilateral\benign\images\benign_8.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_8_mask.png,,
benign (8),benign,robust_nlm,0.571513491878345,0.0010555153584425013,0.16926991723763454,,,data\processed\preprocessed\robust_nlm\benign\images\benign_8.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_8_mask.png
benign (251),benign,raw,0.4196753661555975,0.002558212836182273,0.07983849125103508,,,,
benign (251),benign,robust_bilateral,0.5618833135662044,0.002235458165831351,0.13880082129976765,data\processed\preprocessed\robust_bilateral\benign\images\benign_251.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_251_mask.png,,
benign (251),benign,robust_nlm,0.5735784695095139,0.0032072542483857548,0.11234142533458752,,,data\processed\preprocessed\robust_nlm\benign\images\benign_251.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_251_mask.png
benign (343),benign,raw,0.4705366866701867,0.0016830205453093178,0.3896036210913523,,,,
benign (343),benign,robust_bilateral,0.5567089345818934,0.0017706924068644088,0.4705868318650078,data\processed\preprocessed\robust_bilateral\benign\images\benign_343.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_343_mask.png,,
benign (343),benign,robust_nlm,0.5627876823751422,0.001607001422514655,0.4720109178936912,,,data\processed\preprocessed\robust_nlm\benign\images\benign_343.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_343_mask.png
benign (336),benign,raw,0.7631983536231953,0.001572807906174176,-0.29803756644454055,,,,
benign (336),benign,robust_bilateral,0.7680207307479509,0.0013701785387999713,-0.30504599489327194,data\processed\preprocessed\robust_bilateral\benign\images\benign_336.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_336_mask.png,,
benign (336),benign,robust_nlm,0.7712244653263833,0.0013855016778837785,-0.3053867324158809,,,data\processed\preprocessed\robust_nlm\benign\images\benign_336.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_336_mask.png
benign (367),benign,raw,0.46302002022529903,0.0016263711908423512,0.2856741803648817,,,,
benign (367),benign,robust_bilateral,0.5708927117627692,0.0018734478728559853,0.3572456157078774,data\processed\preprocessed\robust_bilateral\benign\images\benign_367.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_367_mask.png,,
benign (367),benign,robust_nlm,0.576336570419306,0.0016820369180951696,0.35876456040421256,,,data\processed\preprocessed\robust_nlm\benign\images\benign_367.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_367_mask.png
benign (222),benign,raw,0.36761620971874914,0.0022070202861468745,0.2682031899937297,,,,
benign (222),benign,robust_bilateral,0.5736109515657702,0.002600815377683801,0.4600959601608125,data\processed\preprocessed\robust_bilateral\benign\images\benign_222.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_222_mask.png,,
benign (222),benign,robust_nlm,0.5870890648316456,0.0035677591942670055,0.43370107937318647,,,data\processed\preprocessed\robust_nlm\benign\images\benign_222.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_222_mask.png
benign (405),benign,raw,0.5785766126429802,0.0032374864042472823,-0.24203222477252312,,,,
benign (405),benign,robust_bilateral,0.6534930815805321,0.002423767203194877,-0.28748411527850437,data\processed\preprocessed\robust_bilateral\benign\images\benign_405.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_405_mask.png,,
benign (405),benign,robust_nlm,0.6585184037897499,0.0025373725369966745,-0.2893745901926832,,,data\processed\preprocessed\robust_nlm\benign\images\benign_405.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_405_mask.png
malignant (128),malignant,raw,0.784288801584064,0.008138061458998128,0.27581286938251776,,,,
malignant (128),malignant,robust_bilateral,0.7895679350781668,0.00254223341371041,0.28993545875250504,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_128.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_128_mask.png,,
malignant (128),malignant,robust_nlm,0.7924448387510512,0.007075906738299174,0.28136750121690635,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_128.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_128_mask.png
malignant (88),malignant,raw,0.7260457818289137,0.001552691963490433,0.2518670476757591,,,,
malignant (88),malignant,robust_bilateral,0.7691162295301118,0.0013131277047409417,0.2671557425418743,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_88.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_88_mask.png,,
malignant (88),malignant,robust_nlm,0.7708669165343461,0.001442095159087865,0.26905739742347,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_88.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_88_mask.png
benign (391),benign,raw,0.4311728025336007,0.000801593172758674,0.010259914479495784,,,,
benign (391),benign,robust_bilateral,0.5063735637254569,0.0008479826793439207,0.011598303784326946,data\processed\preprocessed\robust_bilateral\benign\images\benign_391.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_391_mask.png,,
benign (391),benign,robust_nlm,0.5081947653446538,0.0008086060683762653,0.012509869952835151,,,data\processed\preprocessed\robust_nlm\benign\images\benign_391.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_391_mask.png
benign (393),benign,raw,0.5669517623642704,0.0010383719246464746,0.38946913969540037,,,,
benign (393),benign,robust_bilateral,0.5792588356457108,0.0007108323790613417,0.40119316307407793,data\processed\preprocessed\robust_bilateral\benign\images\benign_393.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_393_mask.png,,
benign (393),benign,robust_nlm,0.5813757446451837,0.0008302000676923679,0.401996778991668,,,data\processed\preprocessed\robust_nlm\benign\images\benign_393.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_393_mask.png
benign (43),benign,raw,0.6218835911038938,0.0013911283833680096,0.14886567994044048,,,,
benign (43),benign,robust_bilateral,0.7028643291009343,0.0014795087789377715,0.16611736242778827,data\processed\preprocessed\robust_bilateral\benign\images\benign_43.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_43_mask.png,,
benign (43),benign,robust_nlm,0.7073453880005532,0.0011223553385466952,0.16901075622752953,,,data\processed\preprocessed\robust_nlm\benign\images\benign_43.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_43_mask.png
benign (135),benign,raw,0.7426258758720333,0.001399591227036299,0.17457140223712314,,,,
benign (135),benign,robust_bilateral,0.7484962806402086,0.0012135425292301202,0.1774615081027164,data\processed\preprocessed\robust_bilateral\benign\images\benign_135.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_135_mask.png,,
benign (135),benign,robust_nlm,0.7503748709768228,0.0012153166668323365,0.17772891537578034,,,data\processed\preprocessed\robust_nlm\benign\images\benign_135.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_135_mask.png
benign (18),benign,raw,0.6889895387661107,0.0008896885018285704,0.6425226093742386,,,,
benign (18),benign,robust_bilateral,0.691676209714306,0.0005534419906978293,0.6475835845185668,data\processed\preprocessed\robust_bilateral\benign\images\benign_18.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_18_mask.png,,
benign (18),benign,robust_nlm,0.6935959599930905,0.0005890026851441085,0.6488786163834805,,,data\processed\preprocessed\robust_nlm\benign\images\benign_18.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_18_mask.png
benign (411),benign,raw,0.6338704070432486,0.0013198201048008336,-0.1034486191275861,,,,
benign (411),benign,robust_bilateral,0.747676383722248,0.0012050681183742211,-0.1254987417824247,data\processed\preprocessed\robust_bilateral\benign\images\benign_411.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_411_mask.png,,
benign (411),benign,robust_nlm,0.7481311604558705,0.0011966620431176664,-0.12595704769306124,,,data\processed\preprocessed\robust_nlm\benign\images\benign_411.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_411_mask.png
benign (95),benign,raw,0.7255584152015748,0.0021771834144589195,0.5894278243670928,,,,
benign (95),benign,robust_bilateral,0.7359031658350196,0.0018692385221675651,0.6019429923187617,data\processed\preprocessed\robust_bilateral\benign\images\benign_95.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_95_mask.png,,
benign (95),benign,robust_nlm,0.7402623422254581,0.0017678636021790173,0.608647765411095,,,data\processed\preprocessed\robust_nlm\benign\images\benign_95.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_95_mask.png
benign (293),benign,raw,0.6312857935855031,0.0037558197713578405,-0.32653910459377,,,,
benign (293),benign,robust_bilateral,0.6876725365665016,0.0032849678126713046,-0.36776306570601547,data\processed\preprocessed\robust_bilateral\benign\images\benign_293.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_293_mask.png,,
benign (293),benign,robust_nlm,0.6949077626291091,0.0036018363565617933,-0.36607247573889784,,,data\processed\preprocessed\robust_nlm\benign\images\benign_293.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_293_mask.png
malignant (146),malignant,raw,0.5226767972289185,0.0012869085696266436,0.2533217760375727,,,,
malignant (146),malignant,robust_bilateral,0.5136795295134124,0.0008829619555366364,0.25579767880832005,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_146.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_146_mask.png,,
malignant (146),malignant,robust_nlm,0.5189827078182558,0.000705469332504988,0.2564131866088665,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_146.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_146_mask.png
malignant (45),malignant,raw,0.7368779799635408,0.0018855195812624178,0.33328764485771123,,,,
malignant (45),malignant,robust_bilateral,0.7431122921454241,0.001405503451475797,0.3378797713887324,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_45.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_45_mask.png,,
malignant (45),malignant,robust_nlm,0.744945499842303,0.0016392506601965564,0.3385764419433282,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_45.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_45_mask.png
benign (171),benign,raw,0.5249420658748308,0.0016268885319994193,0.2873033062978936,,,,
benign (171),benign,robust_bilateral,0.6013751220873758,0.0016464617169110252,0.33116713878233384,data\processed\preprocessed\robust_bilateral\benign\images\benign_171.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_171_mask.png,,
benign (171),benign,robust_nlm,0.606235044164323,0.0014903302959470746,0.33578576118352366,,,data\processed\preprocessed\robust_nlm\benign\images\benign_171.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_171_mask.png
benign (422),benign,raw,0.84464657050101,0.006245820034619661,0.4421951723714073,,,,
benign (422),benign,robust_bilateral,0.8623826097946343,0.004648126662930968,0.4691664175780977,data\processed\preprocessed\robust_bilateral\benign\images\benign_422.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_422_mask.png,,
benign (422),benign,robust_nlm,0.8673932483191178,0.004831854319763904,0.47080653071411144,,,data\processed\preprocessed\robust_nlm\benign\images\benign_422.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_422_mask.png
benign (263),benign,raw,0.44755298022253054,0.002378232204026587,0.05904693578266432,,,,
benign (263),benign,robust_bilateral,0.546715767906821,0.0023214521377505682,0.08725428343385747,data\processed\preprocessed\robust_bilateral\benign\images\benign_263.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_263_mask.png,,
benign (263),benign,robust_nlm,0.5565969079554802,0.0027799466566585853,0.0729535056578092,,,data\processed\preprocessed\robust_nlm\benign\images\benign_263.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_263_mask.png
benign (364),benign,raw,0.8146151887413794,0.0016575425861815765,-0.45090430515301383,,,,
benign (364),benign,robust_bilateral,0.8634761308633383,0.0013172387771324646,-0.4845730537161466,data\processed\preprocessed\robust_bilateral\benign\images\benign_364.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_364_mask.png,,
